player_id,player_name,contract_type,base_salary_gbp,performance_bonus_gbp,total_package_gbp,contract_length_years,contract_status,release_clause_gbp,value_score,risk_score,salary_band
42,Tayyab Gul,Domestic,102000,11000,113000,3,Active,125000,79.2,15.01,High-value starter
43,Lahiru Chameera,Domestic,81000,8000,89000,1,Active,110000,75.3,27.24,High-value starter
44,Darren Brooks,Domestic,42000,3000,45000,1,Active,26000,60.7,15.11,Development / squad
45,Moeen Sibley,Overseas,91000,8000,99000,1,Active,129000,75.6,14.69,High-value starter
46,Zak Carse,Academy,109000,7000,116000,2,Active,113000,77.9,7.36,High-value starter
47,Jamie Lawrence,Domestic,55000,10000,65000,1,Active,36000,74.0,32.39,Strong squad asset
48,Sam Sibley,Domestic,63000,5000,68000,2,Active,35000,70.0,17.2,Strong squad asset
49,Suryakumar Sharma,Domestic,64000,12000,76000,2,Active,82000,73.3,36.35,Strong squad asset
50,Jamie Brook,Overseas,51000,4000,55000,2,Active,62000,74.4,13.17,Strong squad asset
51,Alex Turner,Domestic,78000,6000,84000,2,Active,43000,66.2,16.14,Strong squad asset
52,Kane Ravindra,Academy,39000,5000,44000,1,Active,21000,63.1,12.36,Development / squad
53,Heinrich Williams,Academy,122000,22000,144000,3,Active,67000,76.9,18.19,High-value starter
54,Usama Aslam,Domestic,120000,7000,127000,1,Active,163000,79.3,23.65,High-value starter
55,Akila Kumara,Domestic,65000,12000,77000,2,Active,70000,72.8,30.76,Strong squad asset
56,Shimron Hetmyer,Academy,121000,7000,128000,2,Active,128000,81.5,19.58,High-value starter
57,Joe Anderson,Overseas,48000,9000,57000,2,Active,58000,72.9,15.91,Strong squad asset
58,Mark Brook,Domestic,88000,9000,97000,2,Active,70000,84.5,19.47,High-value starter
59,Sam Brook,Domestic,21000,3000,24000,1,Expiring,10000,63.9,14.33,Development / squad
60,Sam Pope,Domestic,56000,7000,63000,1,Active,35000,73.6,4.88,Strong squad asset
61,Ishan Kohli,Domestic,97000,17000,114000,3,Active,63000,79.1,27.0,High-value starter
62,Joe Roy,Academy,54000,10000,64000,2,Active,55000,73.8,35.18,Strong squad asset
63,Lance Short,Academy,74000,4000,78000,2,Expiring,56000,72.8,19.98,Strong squad asset
64,Jacob Nicholls,Academy,57000,7000,64000,1,Active,62000,74.0,13.67,Strong squad asset
65,Temba Rickelton,Overseas,92000,7000,99000,2,Active,70000,80.8,11.18,High-value starter
66,Haris Khushdil,Domestic,104000,19000,123000,3,Active,61000,82.6,26.56,High-value starter
67,Dimuth Nissanka,Domestic,86000,4000,90000,3,Active,54000,81.7,24.22,High-value starter
68,Shimron Holder,Domestic,40000,2000,42000,1,Active,48000,61.9,14.65,Development / squad
69,Dom Crawley,Academy,21000,1000,22000,1,Active,29000,63.7,7.32,Development / squad
70,Jonny Root,Academy,124000,6000,130000,1,Active,130000,75.9,24.72,High-value starter
71,James Ahmed,Overseas,72000,4000,76000,2,Active,100000,72.0,9.39,Strong squad asset
72,Jack Brook,Domestic,88000,7000,95000,2,Active,53000,77.5,20.98,High-value starter
73,Mohammed Chahal,Academy,80000,12000,92000,2,Expiring,58000,76.0,14.66,High-value starter
74,Dom Wood,Overseas,73000,14000,87000,1,Active,100000,71.4,16.37,Strong squad asset
75,Usman Richardson,Domestic,69000,11000,80000,1,Active,98000,72.5,14.52,Strong squad asset
76,Mitchell Wagner,Academy,38000,6000,44000,1,Active,29000,62.8,12.34,Development / squad
77,Reeza Rabada,Academy,39000,2000,41000,1,Expiring,52000,63.8,22.69,Development / squad
78,Fakhar Zaman,Domestic,83000,14000,97000,1,Active,66000,75.2,34.25,High-value starter
79,Maheesh Chandimal,Domestic,96000,5000,101000,2,Active,79000,79.3,23.99,High-value starter
80,Rovman Mayers,Domestic,85000,8000,93000,1,Active,100000,78.4,9.1,High-value starter
81,Jos Lawrence,Domestic,118000,7000,125000,3,Released,80000,79.8,32.15,High-value starter
82,Harry Overton,Domestic,108000,7000,115000,2,Active,132000,77.4,19.13,High-value starter
83,Matt Stokes,Domestic,56000,7000,63000,2,Active,49000,72.8,9.81,Strong squad asset
84,Mark Lawrence,Overseas,47000,6000,53000,1,Active,56000,65.9,6.5,Strong squad asset
85,Prasidh Bawa,Academy,55000,10000,65000,1,Active,67000,72.3,6.07,Strong squad asset
86,Stuart Archer,Academy,56000,8000,64000,1,Active,52000,66.0,15.67,Strong squad asset
87,Nathan Agar,Academy,112000,10000,122000,3,Active,136000,77.6,29.41,High-value starter
88,Matt Kuggeleijn,Academy,108000,10000,118000,3,Active,97000,81.3,23.66,High-value starter
89,Andile Ngidi,Domestic,42000,5000,47000,1,Active,48000,61.2,9.66,Development / squad
90,Babar Azam,Academy,148000,24000,172000,3,Active,158000,85.2,17.76,Elite / overseas-standard
91,Sachith Liyanage,Academy,130000,22000,152000,3,Active,92000,90.3,6.85,Elite / overseas-standard
92,Fabian Brooks,Domestic,69000,8000,77000,2,Active,69000,73.3,37.63,Strong squad asset
93,Sam Bairstow,Academy,71000,4000,75000,1,Active,80000,70.3,34.77,Strong squad asset
94,Harry Broad,Domestic,64000,11000,75000,2,Active,75000,73.9,39.0,Strong squad asset
95,Ollie Curran,Domestic,71000,12000,83000,1,Active,38000,67.0,13.61,Strong squad asset
96,James Root,Academy,102000,18000,120000,3,Active,93000,81.3,25.04,High-value starter
97,Umesh Patel,Academy,63000,9000,72000,1,Active,46000,72.1,13.51,Strong squad asset
98,Liam Carse,Academy,59000,9000,68000,1,Expiring,80000,65.4,17.33,Strong squad asset
99,Tim Philippe,Domestic,45000,3000,48000,1,Active,53000,71.1,6.27,Strong squad asset
100,Jacob Southee,Domestic,48000,6000,54000,2,Expiring,29000,70.0,6.56,Strong squad asset
101,Reeza Amla,Domestic,81000,12000,93000,2,Released,88000,82.4,8.21,High-value starter
102,Faheem Iftikhar,Academy,108000,18000,126000,3,Expiring,100000,80.6,20.08,High-value starter
103,Niroshan Theekshana,Domestic,56000,9000,65000,2,Active,42000,74.6,14.79,Strong squad asset
104,Nicholas Hetmyer,Domestic,32000,5000,37000,1,Active,40000,60.9,10.66,Development / squad
105,Adil Anderson,Overseas,120000,17000,137000,2,Active,69000,83.0,8.88,High-value starter
106,Adil Carse,Domestic,91000,8000,99000,3,Active,94000,77.9,31.02,High-value starter
107,Adil Rashid,Overseas,59000,4000,63000,1,Active,38000,72.4,39.87,Strong squad asset
108,Ben Stokes,Domestic,113000,12000,125000,2,Active,109000,82.1,13.46,High-value starter
109,Tilak Mukesh,Domestic,53000,9000,62000,1,Active,67000,71.4,21.15,Strong squad asset
110,Joe Overton,Academy,47000,5000,52000,1,Active,40000,74.0,25.03,Strong squad asset
111,David Zampa,Domestic,93000,12000,105000,3,Active,120000,77.3,30.73,High-value starter
112,Rachin Boult,Domestic,50000,4000,54000,1,Active,26000,72.0,9.38,Strong squad asset
113,Gerald Rabada,Overseas,77000,11000,88000,2,Active,94000,65.4,5.82,Strong squad asset
114,Tayyab Shafique,Domestic,116000,22000,138000,3,Active,163000,84.4,19.71,High-value starter
115,Dilshan Vandersay,Academy,67000,9000,76000,1,Active,76000,65.2,17.77,Strong squad asset
116,Roston Shepherd,Domestic,119000,9000,128000,1,Active,98000,77.2,29.57,High-value starter
117,James Potts,Domestic,116000,11000,127000,3,Expiring,90000,82.3,24.12,High-value starter
118,Matt Woakes,Overseas,88000,7000,95000,3,Active,45000,83.3,24.61,High-value starter
119,Jason Roy,Domestic,120000,10000,130000,2,Active,174000,82.6,30.04,High-value starter
120,Joe Curran,Domestic,104000,20000,124000,2,Active,54000,81.4,27.77,High-value starter
121,Hardik Sundar,Overseas,116000,9000,125000,2,Active,71000,82.5,15.68,High-value starter
122,Jonny Potts,Overseas,76000,9000,85000,1,Active,66000,68.7,26.99,Strong squad asset
123,Travis Richardson,Domestic,56000,10000,66000,1,Active,29000,74.3,8.91,Strong squad asset
124,Devon Tickner,Domestic,22000,3000,25000,1,Expiring,19000,62.5,32.83,Development / squad
125,Reeza Ngidi,Overseas,52000,3000,55000,1,Active,58000,70.2,8.5,Strong squad asset
126,Usman Saleem,Academy,99000,16000,115000,2,Expiring,108000,77.7,21.18,High-value starter
127,Pathum Kumara,Domestic,73000,12000,85000,1,Active,39000,68.4,14.56,Strong squad asset
128,Alzarri Sammy,Academy,75000,7000,82000,2,Active,63000,73.1,6.36,Strong squad asset
129,Ollie Root,Overseas,45000,7000,52000,2,Active,65000,71.1,15.15,Strong squad asset
130,Chris Bethell,Overseas,102000,15000,117000,2,Active,125000,76.6,12.94,High-value starter
131,Jamie Ali,Academy,59000,10000,69000,2,Active,58000,74.4,5.58,Strong squad asset
132,Rehan Wood,Academy,89000,12000,101000,3,Active,66000,79.5,7.65,High-value starter
133,Shubman Jadeja,Domestic,130000,23000,153000,2,Active,125000,86.5,30.99,Elite / overseas-standard
134,Jamie Potts,Domestic,56000,3000,59000,2,Expiring,38000,70.2,17.19,Strong squad asset
135,Marcus Warner,Overseas,172000,17000,189000,2,Active,134000,85.4,9.66,Elite / overseas-standard
136,Kane Taylor,Academy,28000,4000,32000,1,Active,14000,62.7,7.63,Development / squad
137,Ryan Nortje,Domestic,32000,2000,34000,1,Active,31000,60.7,23.47,Development / squad
138,Naseem Saleem,Domestic,69000,10000,79000,1,Active,68000,66.2,27.26,Strong squad asset
139,Dimuth Rajapaksa,Domestic,96000,9000,105000,1,Active,71000,78.3,24.67,High-value starter
140,Darren Bravo,Overseas,79000,11000,90000,1,Active,83000,68.0,11.62,Strong squad asset
141,Brydon Salt,Domestic,123000,24000,147000,3,Active,104000,79.9,33.92,High-value starter
142,Brydon Root,Overseas,137000,12000,149000,3,Active,85000,85.8,22.17,Elite / overseas-standard
143,Brydon Potts,Domestic,62000,4000,66000,1,Active,78000,72.3,9.64,Strong squad asset
144,Chris Rashid,Domestic,140000,11000,151000,2,Active,171000,85.2,27.66,Elite / overseas-standard
145,Jasprit Iyer,Domestic,92000,16000,108000,3,Active,79000,77.9,21.73,High-value starter
146,Stuart Pope,Domestic,46000,7000,53000,2,Active,25000,71.9,10.13,Strong squad asset
147,Scott Labuschagne,Academy,66000,6000,72000,1,Expiring,75000,66.7,8.1,Strong squad asset
148,Ross O'Rourke,Domestic,150000,27000,177000,3,Active,145000,86.1,27.29,Elite / overseas-standard
149,Temba Fortuin,Domestic,82000,6000,88000,3,Active,118000,80.9,26.29,High-value starter
150,Wahab Ahmed,Domestic,54000,3000,57000,1,Active,53000,66.6,17.45,Strong squad asset
151,Dasun Mendis,Domestic,120000,8000,128000,1,Active,96000,79.7,16.25,High-value starter
152,Kevin Hetmyer,Domestic,90000,12000,102000,2,Active,98000,77.4,31.57,High-value starter
153,Jason Curran,Academy,50000,5000,55000,1,Expiring,39000,68.1,6.2,Strong squad asset
154,Jos Root,Domestic,62000,8000,70000,2,Active,90000,73.0,15.48,Strong squad asset
155,Jack Crawley,Overseas,79000,15000,94000,1,Active,56000,70.8,10.06,Strong squad asset
156,Jason Potts,Domestic,90000,7000,97000,2,Active,59000,75.7,20.33,High-value starter
157,Arshdeep Bumrah,Domestic,68000,10000,78000,2,Active,36000,72.5,7.04,Strong squad asset
158,Harry Bairstow,Academy,114000,10000,124000,3,Expiring,65000,79.5,25.39,High-value starter
159,Marcus Smith,Overseas,136000,25000,161000,2,Active,153000,85.2,15.77,Elite / overseas-standard
160,Ross Ravindra,Domestic,112000,7000,119000,1,Active,72000,76.5,26.26,High-value starter
161,Vernon Mulder,Domestic,96000,5000,101000,2,Active,77000,77.4,7.25,High-value starter
162,Tayyab Khushdil,Overseas,108000,12000,120000,3,Active,86000,81.1,14.27,High-value starter
163,Thisara Hasaranga,Domestic,67000,12000,79000,1,Active,66000,66.7,10.37,Strong squad asset
164,Roston Brooks,Overseas,63000,8000,71000,1,Expiring,77000,73.1,12.0,Strong squad asset
165,Jofra Salt,Domestic,84000,5000,89000,2,Released,112000,78.5,17.09,High-value starter
166,Ollie Stokes,Overseas,40000,5000,45000,1,Released,59000,63.5,11.45,Development / squad
167,Zak Root,Overseas,94000,12000,106000,2,Active,63000,77.0,27.18,High-value starter
168,Dom Root,Overseas,88000,16000,104000,3,Active,95000,81.5,10.91,High-value starter
169,Rishabh Sundar,Domestic,46000,5000,51000,2,Active,37000,70.8,22.76,Strong squad asset
170,Jofra Buttler,Overseas,65000,11000,76000,1,Active,77000,72.8,11.57,Strong squad asset
171,Marnus Tye,Overseas,68000,6000,74000,1,Expiring,89000,65.4,17.01,Strong squad asset
172,Neil Ravindra,Domestic,80000,5000,85000,2,Active,49000,81.0,4.02,High-value starter
173,Tabraiz de Zorzi,Domestic,62000,11000,73000,1,Active,31000,65.5,6.66,Strong squad asset
174,Imam Rizwan,Overseas,52000,5000,57000,2,Active,44000,74.7,10.31,Strong squad asset
175,Kasun de Silva,Academy,67000,7000,74000,2,Active,51000,71.0,6.89,Strong squad asset
176,Odean Gayle,Domestic,51000,9000,60000,1,Active,61000,70.0,11.0,Strong squad asset
177,Craig Crawley,Domestic,69000,13000,82000,1,Active,51000,72.3,25.08,Strong squad asset
178,Rehan Root,Domestic,58000,7000,65000,1,Active,34000,75.0,13.77,Strong squad asset
179,Jonny Ali,Domestic,77000,14000,91000,1,Active,50000,71.8,13.88,Strong squad asset
180,Jamie Wood,Academy,86000,13000,99000,2,Active,84000,81.1,26.55,High-value starter
181,Tilak Gill,Domestic,95000,11000,106000,2,Active,65000,77.1,8.4,High-value starter
182,Ollie Crawley,Overseas,48000,8000,56000,1,Active,61000,68.4,32.56,Strong squad asset
183,Aaron Boland,Domestic,121000,23000,144000,2,Active,159000,78.1,37.7,High-value starter
184,Colin Blundell,Academy,75000,7000,82000,2,Active,112000,71.9,25.5,Strong squad asset
185,Gerald Markram,Domestic,54000,6000,60000,2,Active,44000,74.9,18.12,Strong squad asset
186,Salman Shah,Overseas,109000,12000,121000,3,Active,75000,78.8,25.32,High-value starter
187,Pathum Rajitha,Overseas,73000,9000,82000,1,Active,93000,68.6,8.12,Strong squad asset
188,Kyle Motie,Domestic,64000,10000,74000,1,Active,83000,65.3,9.44,Strong squad asset
189,Jason Brook,Academy,151000,25000,176000,3,Active,98000,88.6,14.87,Elite / overseas-standard
190,Mark Ahmed,Domestic,26000,1000,27000,1,Released,21000,64.5,15.32,Development / squad
191,Jamie Carse,Domestic,84000,5000,89000,2,Expiring,43000,82.1,17.44,High-value starter
192,Tom Brook,Domestic,76000,13000,89000,1,Released,43000,68.6,7.23,Strong squad asset
193,Prasidh Iyer,Domestic,42000,4000,46000,1,Active,48000,63.8,15.12,Development / squad
194,Tom Potts,Academy,108000,19000,127000,3,Active,88000,81.2,24.83,High-value starter
195,Steve Green,Academy,56000,3000,59000,2,Active,63000,73.3,16.26,Strong squad asset
196,Mark Taylor,Domestic,57000,11000,68000,1,Active,53000,65.5,7.3,Strong squad asset
197,Tabraiz Rickelton,Overseas,70000,11000,81000,1,Active,42000,74.9,24.94,Strong squad asset
198,Asif Zaman,Academy,120000,11000,131000,2,Active,98000,82.8,24.33,High-value starter
199,Suranga Mendis,Domestic,76000,7000,83000,1,Active,56000,65.8,10.79,Strong squad asset
200,Nicholas Athanaze,Domestic,72000,9000,81000,1,Active,48000,67.6,15.4,Strong squad asset
201,Matt Overton,Overseas,67000,9000,76000,1,Active,79000,72.7,33.39,Strong squad asset
202,Jamie Salt,Domestic,47000,8000,55000,1,Active,45000,65.6,9.78,Strong squad asset
203,Matt Rashid,Domestic,24000,2000,26000,1,Active,33000,63.2,25.78,Development / squad
204,Craig Wood,Domestic,42000,7000,49000,1,Active,27000,63.5,17.89,Development / squad
205,Hardik Chahal,Domestic,66000,12000,78000,1,Released,52000,66.9,19.81,Strong squad asset
206,Liam Archer,Overseas,80000,12000,92000,2,Active,64000,75.0,7.41,High-value starter
207,Matthew Starc,Domestic,48000,8000,56000,1,Active,42000,67.0,10.89,Strong squad asset
208,Daryl Boult,Academy,68000,6000,74000,2,Active,35000,73.2,21.68,Strong squad asset
209,Marco Hendricks,Domestic,45000,2000,47000,2,Expiring,57000,73.2,11.17,Strong squad asset
210,Saim Rizwan,Academy,87000,14000,101000,1,Active,122000,75.5,25.76,High-value starter
211,Isuru Kumara,Academy,104000,17000,121000,2,Active,71000,81.0,20.93,High-value starter
212,Fabian Bravo,Academy,111000,18000,129000,3,Active,131000,76.5,23.72,High-value starter
213,Tom Ali,Academy,67000,4000,71000,1,Active,36000,74.0,8.69,Strong squad asset
214,Mark Overton,Domestic,90000,12000,102000,3,Active,53000,77.9,20.63,High-value starter
215,Jofra Ahmed,Overseas,112000,11000,123000,3,Active,78000,81.4,23.01,High-value starter
216,James Crawley,Overseas,53000,6000,59000,2,Expiring,70000,70.3,32.0,Strong squad asset
217,Rinku Siraj,Overseas,56000,4000,60000,1,Active,54000,66.0,6.71,Strong squad asset
218,Liam Crawley,Academy,71000,12000,83000,2,Active,68000,67.5,5.89,Strong squad asset
219,Steve Smith,Domestic,109000,17000,126000,1,Active,128000,77.5,16.99,High-value starter
220,Colin Latham,Academy,74000,7000,81000,2,Active,38000,66.6,38.05,Strong squad asset
221,Wiaan du Plessis,Overseas,68000,8000,76000,1,Active,79000,72.5,7.11,Strong squad asset
222,Danish Afridi,Academy,105000,20000,125000,3,Active,77000,79.6,17.19,High-value starter
223,Dinesh Chameera,Academy,84000,15000,99000,1,Active,118000,80.2,23.6,High-value starter
224,Shai Bravo,Academy,57000,3000,60000,1,Active,80000,71.2,10.67,Strong squad asset
225,Harry Anderson,Overseas,54000,7000,61000,2,Active,29000,72.2,11.75,Strong squad asset
226,Matt Ahmed,Overseas,90000,8000,98000,2,Active,53000,81.7,9.75,High-value starter
227,Jonny Archer,Overseas,79000,8000,87000,1,Active,114000,68.1,23.02,Strong squad asset
228,Jason Overton,Academy,97000,15000,112000,2,Active,88000,77.0,23.02,High-value starter
229,Rishabh Bishnoi,Domestic,120000,17000,137000,2,Expiring,93000,76.2,33.3,High-value starter
230,Jamie Crawley,Academy,67000,7000,74000,1,Active,97000,67.7,17.66,Strong squad asset
231,Matthew Stoinis,Domestic,72000,14000,86000,2,Active,100000,66.1,17.76,Strong squad asset
232,Neil Chapman,Overseas,102000,6000,108000,3,Active,149000,80.2,15.65,High-value starter
233,Reeza Nortje,Domestic,34000,2000,36000,1,Active,38000,61.9,14.51,Development / squad
234,Agha Nawaz,Domestic,102000,17000,119000,2,Active,63000,80.0,26.02,High-value starter
235,Nuwan Chameera,Domestic,88000,15000,103000,2,Active,95000,78.0,24.47,High-value starter
236,Alzarri Russell,Domestic,112000,18000,130000,1,Active,122000,81.4,22.04,High-value starter
237,Matt Anderson,Domestic,92000,18000,110000,2,Active,119000,78.4,26.33,High-value starter
238,Jos Stokes,Academy,126000,22000,148000,2,Active,108000,86.1,16.57,Elite / overseas-standard
239,Jofra Root,Overseas,67000,11000,78000,1,Active,34000,66.7,15.91,Strong squad asset
240,Brydon Anderson,Domestic,51000,3000,54000,2,Active,31000,74.8,13.29,Strong squad asset
241,Suryakumar Iyer,Domestic,122000,14000,136000,2,Active,133000,79.0,9.24,High-value starter
242,Jason Carse,Academy,122000,10000,132000,3,Active,149000,77.8,15.41,High-value starter
243,Peter Short,Domestic,121000,17000,138000,3,Active,181000,81.3,6.92,High-value starter
244,Tom Wagner,Domestic,57000,8000,65000,2,Active,80000,71.7,33.17,Strong squad asset
245,Reeza Williams,Overseas,80000,14000,94000,2,Active,51000,84.5,21.65,High-value starter
246,Agha Irfan,Domestic,77000,11000,88000,1,Active,93000,73.6,14.5,Strong squad asset
247,Pathum Rajapaksa,Overseas,99000,19000,118000,3,Active,94000,80.8,32.83,High-value starter
248,Kyle Holder,Domestic,123000,20000,143000,2,Active,142000,76.8,27.01,High-value starter
249,Liam Bairstow,Academy,78000,12000,90000,1,Active,74000,70.2,13.17,Strong squad asset
250,Joe Root,Domestic,118000,11000,129000,2,Active,108000,79.8,24.98,High-value starter
251,Ollie Wood,Domestic,93000,10000,103000,1,Active,81000,82.4,26.93,High-value starter
252,Chris Archer,Overseas,58000,8000,66000,1,Active,34000,69.8,15.26,Strong squad asset
253,Suryakumar Kishan,Domestic,118000,13000,131000,1,Active,102000,80.7,8.2,High-value starter
254,Jack Stokes,Academy,56000,3000,59000,1,Released,59000,68.8,8.21,Strong squad asset
255,Andrew Boland,Academy,50000,3000,53000,1,Active,58000,66.3,12.05,Strong squad asset
256,Devon Kuggeleijn,Overseas,64000,11000,75000,2,Active,93000,74.8,27.6,Strong squad asset
257,Hashim Klaasen,Domestic,122000,7000,129000,2,Active,79000,75.6,16.66,High-value starter
258,Asif Saleem,Overseas,69000,5000,74000,2,Active,92000,68.4,8.55,Strong squad asset
259,Maheesh Mathews,Domestic,34000,2000,36000,1,Active,24000,57.8,26.02,Development / squad
260,Kieran Sammy,Overseas,129000,22000,151000,3,Released,170000,86.5,28.17,Elite / overseas-standard
261,Tom Woakes,Academy,107000,20000,127000,1,Active,82000,75.4,11.81,High-value starter
262,Brydon Buttler,Domestic,124000,19000,143000,1,Active,104000,77.4,7.47,High-value starter
263,Jamie Buttler,Overseas,49000,3000,52000,1,Active,56000,68.1,10.48,Strong squad asset
264,Mark Anderson,Domestic,63000,4000,67000,1,Active,33000,67.0,12.66,Strong squad asset
265,Mohammed Tiwary,Domestic,119000,13000,132000,2,Active,103000,83.0,20.23,High-value starter
266,Jonny Rashid,Academy,70000,6000,76000,1,Expiring,76000,66.2,7.75,Strong squad asset
267,Marnus Inglis,Domestic,69000,5000,74000,1,Active,37000,67.3,15.91,Strong squad asset
268,Daryl Ferguson,Domestic,111000,12000,123000,1,Active,122000,79.0,9.63,High-value starter
269,Hashim Ngidi,Domestic,57000,4000,61000,2,Active,48000,69.6,12.25,Strong squad asset
270,Zafar Zaman,Overseas,93000,8000,101000,1,Active,91000,78.0,14.49,High-value starter
271,Dhananjaya Dickwella,Overseas,40000,6000,46000,1,Active,35000,64.1,15.19,Development / squad
272,Dwayne Athanaze,Academy,40000,2000,42000,1,Active,57000,58.9,15.92,Development / squad
273,Tom Ahmed,Domestic,75000,7000,82000,1,Active,74000,70.5,10.87,Strong squad asset
274,Jamie Bairstow,Overseas,121000,9000,130000,3,Active,145000,79.1,31.78,High-value starter
275,Sam Rashid,Domestic,103000,11000,114000,2,Active,96000,78.5,24.25,High-value starter
276,Adil Potts,Domestic,102000,18000,120000,3,Active,109000,75.4,32.53,High-value starter
277,Yuzvendra Dube,Domestic,72000,4000,76000,2,Active,59000,74.5,6.93,Strong squad asset
278,Matt Lawrence,Academy,109000,20000,129000,3,Active,146000,77.4,21.28,High-value starter
279,Andrew Tye,Domestic,111000,15000,126000,1,Active,99000,77.8,11.09,High-value starter
280,Daryl Ravindra,Academy,115000,11000,126000,2,Active,76000,75.7,6.68,High-value starter
281,Rassie Philander,Overseas,76000,9000,85000,1,Active,96000,72.1,8.98,Strong squad asset
282,Agha Saleem,Academy,95000,18000,113000,3,Active,61000,80.6,5.27,High-value starter
283,Maheesh Perera,Domestic,96000,8000,104000,1,Active,62000,77.3,4.83,High-value starter
284,Fabian Pollard,Academy,22000,1000,23000,1,Released,24000,64.4,18.09,Development / squad
285,Dom Roy,Academy,106000,17000,123000,2,Active,150000,80.9,21.39,High-value starter
286,Zak Anderson,Overseas,81000,14000,95000,2,Active,52000,76.6,18.81,High-value starter
287,Zak Buttler,Domestic,31000,3000,34000,1,Active,40000,64.2,22.29,Development / squad
288,Zak Ahmed,Overseas,63000,8000,71000,1,Active,36000,66.5,16.37,Strong squad asset
289,Ravindra Yadav,Domestic,92000,5000,97000,3,Active,72000,77.3,33.57,High-value starter
290,Zak Wood,Academy,106000,14000,120000,1,Active,114000,76.4,12.0,High-value starter
